amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
40,500,35,30,1.8323379960230035e-05,0.003,0.00041649580001831057
40,500,30,30,1.8329515578182632e-05,0.003,0.00036977291107177736
40,500,25,30,1.8386194712455282e-05,0.003,0.00036981821060180667
40,500,20,30,1.9251442272022468e-05,0.003,0.0003167819976806641
40,500,35,25,1.9403461757798722e-05,0.003,0.0004128742218017578
40,500,30,25,1.940928739443071e-05,0.003,0.00033349037170410156
40,500,25,25,1.9465600728687525e-05,0.003,0.0003631329536437988
40,500,20,25,2.0328123321724512e-05,0.003,0.00030401945114135744
40,500,35,35,2.1005626153335344e-05,0.003,0.00042731285095214843
40,500,30,35,2.1011992965899174e-05,0.003,0.00039406776428222654
40,500,25,35,2.1070083682106498e-05,0.003,0.00037243127822875975
40,500,20,35,2.1952648079619496e-05,0.003,0.00034815311431884765
40,500,35,20,2.709999706270838e-05,0.003,0.0003722786903381348
40,500,30,20,2.7104226907007645e-05,0.003,0.00034835338592529295
40,500,25,20,2.715642270691543e-05,0.003,0.00029755353927612304
40,500,20,20,2.8018041251932634e-05,0.003,0.00045139789581298827
